Graduation.Rate ,Expenditure ,Median.SAT 
81.2,7462,1160
66.8,7310,1115
66.4,6959,1070
66.1,8810,1205
64.9,7657,1135
63.7,8063,1060
62.6,8352,1130
62.5,7789,1200
61.2,8106,1015
59.8,7776,1100
56.6,8515,990
54.8,7037,1085
52.7,8715,1040
52.4,7780,1040
52.4,7198,1105
50.5,7429,975
49.9,7551,1030
48.9,8112,1030
48.1,8149,950
46.5,6744,1010
45.3,8842,1223
45.2,7743,990
43.7,5587,1010
43.5,7166,1010
42.9,5749,950
42.1,6268,955
42.0,8477,985
38.9,7076,990
38.8,8153,990
38.3,7342,910
35.9,8444,1075
32.8,7245,885
32.6,6408,1060
32.3,4981,990
31.8,7333,970
31.3,7984,905
31.0,5811,1010
26.0,7410,1005